Method,Name,Error,Occurrences
POST,POST /auth/login,CatchResponseError('Login failed for user_0081@fitsi.test: 429'),3
POST,POST /auth/login,CatchResponseError('Login failed for user_0038@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0075@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0005@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0035@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0093@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0047@fitsi.test: 429'),3
POST,POST /auth/login,CatchResponseError('Login failed for user_0018@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0026@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0020@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0022@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0003@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0067@fitsi.test: 429'),2
POST,POST /auth/login,CatchResponseError('Login failed for user_0079@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0048@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0094@fitsi.test: 401'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0096@fitsi.test: 429'),4
POST,POST /auth/login,CatchResponseError('Login failed for user_0010@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0028@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0061@fitsi.test: 429'),1
POST,POST /auth/login,CatchResponseError('Login failed for user_0041@fitsi.test: 429'),3
POST,POST /auth/login,CatchResponseError('Login failed for user_0069@fitsi.test: 429'),3
POST,POST /auth/login,CatchResponseError('Login failed for user_0049@fitsi.test: 429'),2
